text,label
I love programming with Python.,positive
Debugging code can be so frustrating.,negative
Natural language processing is a fascinating field.,positive
I get so stressed when the code doesn't work.,negative
I enjoy learning new technologies every day.,positive
Sometimes I feel overwhelmed by all the new tech.,negative
Reading technical articles gives me new insights every day.,positive
I hate it when the internet is slow.,negative
Working with data science is so rewarding.,positive
It's hard to stay motivated when projects don't go as planned.,negative
